,n_voxels_funroi,n_voxels_funroi,n_voxels_funroi,n_voxels_funroi,n_voxels_spm,n_voxels_spm,n_voxels_spm,n_voxels_spm,n_diff,n_diff,n_diff,n_diff
localizer,EventsOrig_SemMinusPercBothMax,EventsOrig_Sem_photominusPerc_photo,EventsOrig_Sem_sentminusPerc_sent,SWNloc_S-N,EventsOrig_SemMinusPercBothMax,EventsOrig_Sem_photominusPerc_photo,EventsOrig_Sem_sentminusPerc_sent,SWNloc_S-N,EventsOrig_SemMinusPercBothMax,EventsOrig_Sem_photominusPerc_photo,EventsOrig_Sem_sentminusPerc_sent,SWNloc_S-N
subject,,,,,,,,,,,,
019,1147,1147,1147,677,1147,1147,1147,677,0,0,0,0
040,1147,1147,1147,677,1147,1147,1147,677,0,0,0,0
056,1147,1147,1147,677,1147,1147,1147,677,0,0,0,0
057,1147,1147,1147,677,1147,1147,1147,677,0,0,0,0
059,1147,1147,1147,677,1147,1147,1147,677,0,0,0,0
067,1147,1147,1147,677,1147,1147,1147,677,0,0,0,0
068,1147,1147,1147,677,1147,1147,1147,677,0,0,0,0
070,1147,1147,1147,677,1147,1147,1147,677,0,0,2,0
076,1147,1147,1147,677,1147,1147,1147,677,0,0,0,0
078,1147,1147,1147,677,1147,1147,1147,677,0,0,0,0
087,1147,1147,1147,677,1147,1147,1147,677,0,0,0,0
089,1147,1147,1147,677,1147,1147,1147,677,0,0,0,0
