froi,size,subject,effect
1,1.2348976203012374,040,S
2,0.30263709304820735,040,S
3,-0.031002780169122463,040,S
4,1.6194009030833503,040,S
5,0.3893969632091297,040,S
6,1.2657309501801055,040,S
1,0.8378466394530079,040,W
2,0.2716678642081442,040,W
3,-0.35896977212208486,040,W
4,1.4980909972795626,040,W
5,0.7353610308078267,040,W
6,1.1093154761873119,040,W
1,0.4876777261680112,040,N
2,0.237352637487364,040,N
3,-0.5138488317837849,040,N
4,1.0150000453498718,040,N
5,0.7554180076264817,040,N
6,1.263314107449742,040,N
1,2.447833142410161,057,S
2,1.6333153287807303,057,S
3,1.8170425328620088,057,S
4,2.1083561868683716,057,S
5,1.9043895935287962,057,S
6,3.195365164244363,057,S
1,3.230262689731694,057,W
2,1.2758293227754187,057,W
3,2.5186213292205744,057,W
4,3.506752306914276,057,W
5,3.9122623066971265,057,W
6,2.568841302230417,057,W
1,0.5947990424312279,057,N
2,0.1288087884167309,057,N
3,-0.39625032003338373,057,N
4,1.7119358348857343,057,N
5,1.279533105957207,057,N
6,0.40804864144003067,057,N
1,1.5950720729908214,059,S
2,0.7692488535947093,059,S
3,1.2045450705263647,059,S
4,1.713152199903889,059,S
5,1.833289750676224,059,S
6,0.9636369281121203,059,S
1,1.2174861906694914,059,W
2,0.5681062139079182,059,W
3,0.9027672974552843,059,W
4,1.3214319540724695,059,W
5,1.623263125213376,059,W
6,0.6718988004140556,059,W
1,0.8022380543935178,059,N
2,0.27475786312101663,059,N
3,0.45921058719492674,059,N
4,1.0673657567203592,059,N
5,0.8016206013828353,059,N
6,0.4736623002954566,059,N
1,0.8534185442822202,056,S
2,0.23671507907297404,056,S
3,0.5132753522484563,056,S
4,0.38427888075946964,056,S
5,0.5161552317018715,056,S
6,0.01922793300436428,056,S
1,0.6059529496592578,056,W
2,0.0022303288061854185,056,W
3,0.17946750903502107,056,W
4,0.30529607159949773,056,W
5,0.33161301206142735,056,W
6,-0.3526451257602858,056,W
1,-0.23470894608286563,056,N
2,-0.36319704410076764,056,N
3,-0.5370640402737384,056,N
4,-0.26804421170979637,056,N
5,0.09501736681820634,056,N
6,-0.19821387296542525,056,N
1,0.8877060126115688,067,S
2,0.10804167347279887,067,S
3,-0.2694400489290274,067,S
4,0.9552460775060984,067,S
5,1.6814453854509022,067,S
6,-0.1480444681816021,067,S
1,0.6070752219531143,067,W
2,-0.12241813905370409,067,W
3,-0.5206659798908125,067,W
4,0.18142812605894817,067,W
5,0.5255548814311624,067,W
6,-0.7409001082676957,067,W
1,0.1400932325208623,067,N
2,-0.02291994850854164,067,N
3,-0.5009757644232499,067,N
4,0.28616671018965273,067,N
5,0.13785939438241546,067,N
6,-0.6468496877733652,067,N
1,1.296288600936946,068,S
2,0.5429631852371898,068,S
3,1.0520086500619072,068,S
4,0.4764351871237998,068,S
5,1.5052956218790747,068,S
6,-0.1783201515450151,068,S
1,1.048872176305414,068,W
2,-0.039034193791516146,068,W
3,0.47415916237514466,068,W
4,0.5900985791687728,068,W
5,1.4169923872821897,068,W
6,0.32190002075832774,068,W
1,0.5584316673147959,068,N
2,-0.4399096234624922,068,N
3,-0.20421080033217245,068,N
4,0.05601824690936016,068,N
5,1.3395897914297825,068,N
6,-0.011692032100515318,068,N
1,0.7524834924598321,019,S
2,0.6197683949345903,019,S
3,0.4726986169007432,019,S
4,1.5448969476164092,019,S
5,1.3533126917917386,019,S
6,1.7722051275541653,019,S
1,0.3350056682524188,019,W
2,0.42874395862782716,019,W
3,0.23891898802442788,019,W
4,0.8043371310356903,019,W
5,0.8743388291728427,019,W
6,0.7518783171665393,019,W
1,-0.01982981657746431,019,N
2,-0.007862441305577986,019,N
3,-0.11823822940884081,019,N
4,0.3673999129788245,019,N
5,0.19248691969213713,019,N
6,0.47389600677667437,019,N
1,2.267614523183276,070,S
2,0.9835832763143236,070,S
3,0.7665819387232963,070,S
4,2.0280838439514786,070,S
5,2.9508873659955417,070,S
6,2.569814573671367,070,S
1,2.037878979395947,070,W
2,0.782739660856908,070,W
3,0.4704539330056529,070,W
4,0.870387711681991,070,W
5,2.084606158884539,070,W
6,2.037402408134595,070,W
1,1.3201887705553401,070,N
2,0.25982576724522216,070,N
3,-0.07852936262618944,070,N
4,0.5916838838953759,070,N
5,1.2600932253079244,070,N
6,2.0065147352765673,070,N
1,1.1694455514073292,087,S
2,0.9490903759894532,087,S
3,0.2569023376063342,087,S
4,1.49421775436054,087,S
5,1.1865218093861705,087,S
6,1.96011028509285,087,S
1,0.8180822471498307,087,W
2,0.5881329458436848,087,W
3,-0.10448295505254161,087,W
4,1.131810439790406,087,W
5,0.8662701196752597,087,W
6,1.3327062534386511,087,W
1,0.3924325246377342,087,N
2,0.14654253415884105,087,N
3,-0.5857202994617788,087,N
4,0.5101078005637638,087,N
5,0.5809582455583132,087,N
6,0.46463397082553853,087,N
1,0.9933523425405798,078,S
2,0.9008639820673169,078,S
3,0.5311295491143634,078,S
4,0.7316607403136824,078,S
5,1.143741818225902,078,S
6,0.7750120722134975,078,S
1,1.0377262727285643,078,W
2,0.7052501149237475,078,W
3,0.34671654437731075,078,W
4,0.7281435365696346,078,W
5,1.020474327188255,078,W
6,0.947934313668861,078,W
1,0.3496798275843344,078,N
2,-0.2700209283114123,078,N
3,-0.4470101034845963,078,N
4,0.1770065501458137,078,N
5,0.47735327434982516,078,N
6,0.2348025969212858,078,N
1,1.1034729479808918,089,S
2,0.5386790669323884,089,S
3,0.45119581611894927,089,S
4,1.0512425277113646,089,S
5,3.3301284071327983,089,S
6,2.1585791409015656,089,S
1,0.6141721202662983,089,W
2,0.31027650329034767,089,W
3,0.08833148989363811,089,W
4,0.40268388147327444,089,W
5,2.4813663895795313,089,W
6,1.3251696301808764,089,W
1,0.06721393955272756,089,N
2,-0.16439892728563874,089,N
3,-0.2843925876004505,089,N
4,-0.21524892465488332,089,N
5,1.5313419139795545,089,N
6,0.32759625390004204,089,N
1,1.1185144369841604,076,S
2,-0.08726144664119734,076,S
3,0.41004418965409667,076,S
4,1.2329936862319104,076,S
5,2.346010940908657,076,S
6,-0.6699547296272472,076,S
1,0.8222058842907916,076,W
2,-0.33630414441282525,076,W
3,-0.3248097390217784,076,W
4,0.864990431160943,076,W
5,2.5693251768639986,076,W
6,-1.181983591887999,076,W
1,0.12772661810695948,076,N
2,-0.46525924021968385,076,N
3,-0.9049963656192025,076,N
4,0.6686720769705046,076,N
5,0.8001025240544392,076,N
6,-0.999475781797423,076,N
