parcels,fisher_z,froi_run,effect1_run,effect2_run,subject
1,0.48252419488225495,parcels,all,all,040
2,0.702330510893424,parcels,all,all,040
3,0.2891782838012685,parcels,all,all,040
4,1.0347988742176168,parcels,all,all,040
5,0.984972681054561,parcels,all,all,040
6,0.28234663516271075,parcels,all,all,040
1,0.6942792265863106,parcels,all,all,057
2,0.4253981567737818,parcels,all,all,057
3,0.22649456503829665,parcels,all,all,057
4,0.7432188285901696,parcels,all,all,057
5,0.4337735894922288,parcels,all,all,057
6,0.31032097268980646,parcels,all,all,057
1,0.5327359901448907,parcels,all,all,059
2,0.4063896934606836,parcels,all,all,059
3,0.7898657310901045,parcels,all,all,059
4,0.6116895321308737,parcels,all,all,059
5,0.9290989229976337,parcels,all,all,059
6,0.44285404563058217,parcels,all,all,059
1,0.6237696761699151,parcels,all,all,056
2,0.5302382565857131,parcels,all,all,056
3,0.23450537842400462,parcels,all,all,056
4,0.6868097050704277,parcels,all,all,056
5,0.7487848542668408,parcels,all,all,056
6,0.1611622470994547,parcels,all,all,056
1,0.5696932972856654,parcels,all,all,067
2,0.18331158592171096,parcels,all,all,067
3,0.3732517747762569,parcels,all,all,067
4,0.9119768589822699,parcels,all,all,067
5,0.8660587208418794,parcels,all,all,067
6,0.07904859106189606,parcels,all,all,067
1,0.7923529845672277,parcels,all,all,068
2,0.230135473880171,parcels,all,all,068
3,0.7258708136903462,parcels,all,all,068
4,1.2239352418897713,parcels,all,all,068
5,0.5996444744381654,parcels,all,all,068
6,0.3073904381778868,parcels,all,all,068
1,-0.3542083819160362,parcels,all,all,019
2,-0.3664122400635849,parcels,all,all,019
3,-0.8440320060166275,parcels,all,all,019
4,-0.4146837720461601,parcels,all,all,019
5,-0.265354985382716,parcels,all,all,019
6,-0.3032509034183954,parcels,all,all,019
1,1.1702565647316665,parcels,all,all,070
2,0.3116684917303021,parcels,all,all,070
3,0.6861593207490383,parcels,all,all,070
4,0.7321215634784195,parcels,all,all,070
5,0.8997545363728886,parcels,all,all,070
6,0.7978195166092565,parcels,all,all,070
1,0.9544654370739234,parcels,all,all,087
2,0.8125385949762208,parcels,all,all,087
3,0.07561703156440021,parcels,all,all,087
4,0.715403295081672,parcels,all,all,087
5,1.3984086544665943,parcels,all,all,087
6,0.6985293262799958,parcels,all,all,087
1,0.03659103702172198,parcels,all,all,078
2,0.053321451710525984,parcels,all,all,078
3,0.053738443113919086,parcels,all,all,078
4,0.4097016753985907,parcels,all,all,078
5,0.07321376753492627,parcels,all,all,078
6,0.6490419904864669,parcels,all,all,078
1,0.1892018908860731,parcels,all,all,089
2,-0.15143131384522152,parcels,all,all,089
3,0.29092619340248627,parcels,all,all,089
4,0.1271086431262779,parcels,all,all,089
5,-0.45416727093121806,parcels,all,all,089
6,0.045215730427405995,parcels,all,all,089
1,0.42218691382279305,parcels,all,all,076
2,-0.4988074288304601,parcels,all,all,076
3,0.11259398534291037,parcels,all,all,076
4,0.23714218748035912,parcels,all,all,076
5,0.4427883820575547,parcels,all,all,076
6,-0.17044392643131603,parcels,all,all,076
